Day,Date,World,India
1,31-12-2019,27,0
2,01-01-2020,0,0
3,02-01-2020,0,0
4,03-01-2020,17,0
5,04-01-2020,0,0
6,05-01-2020,15,0
7,06-01-2020,0,0
8,07-01-2020,0,0
9,08-01-2020,0,0
10,09-01-2020,0,0
11,10-01-2020,0,0
12,11-01-2020,0,0
13,12-01-2020,0,0
14,13-01-2020,1,0
15,14-01-2020,0,0
16,15-01-2020,1,0
17,16-01-2020,0,0
18,17-01-2020,5,0
19,18-01-2020,17,0
20,19-01-2020,136,0
21,20-01-2020,20,0
22,21-01-2020,153,0
23,22-01-2020,142,0
24,23-01-2020,97,0
25,24-01-2020,266,0
26,25-01-2020,453,0
27,26-01-2020,673,0
28,27-01-2020,797,0
29,28-01-2020,1767,0
30,29-01-2020,1480,0
31,30-01-2020,1756,1
32,31-01-2020,2001,0
33,01-02-2020,2122,0
34,02-02-2020,2608,1
35,03-02-2020,2818,0
36,04-02-2020,3243,1
37,05-02-2020,3908,0
38,06-02-2020,3751,0
39,07-02-2020,3218,0
40,08-02-2020,3442,0
41,09-02-2020,2618,0
42,10-02-2020,2992,0
43,11-02-2020,2562,0
44,12-02-2020,2072,0
45,13-02-2020,15151,0
46,14-02-2020,4215,0
47,15-02-2020,2560,0
48,16-02-2020,2162,0
49,17-02-2020,2067,0
50,18-02-2020,1995,0
51,19-02-2020,1864,0
52,20-02-2020,532,0
53,21-02-2020,996,0
54,22-02-2020,1085,0
55,23-02-2020,1009,0
56,24-02-2020,523,0
57,25-02-2020,793,0
58,26-02-2020,867,0
59,27-02-2020,1114,0
60,28-02-2020,1266,0
61,29-02-2020,1859,0
62,01-03-2020,1826,0
63,02-03-2020,2087,0
64,03-03-2020,1857,2
65,04-03-2020,2312,1
66,05-03-2020,2354,22
67,06-03-2020,3058,1
68,07-03-2020,4120,2
69,08-03-2020,3977,3
70,09-03-2020,4177,0
71,10-03-2020,4816,10
72,11-03-2020,5107,6
73,12-03-2020,7898,23
74,13-03-2020,9451,2
75,14-03-2020,10404,8
76,15-03-2020,12165,7
77,16-03-2020,12455,3
78,17-03-2020,14201,32
79,18-03-2020,17006,12
80,19-03-2020,20214,28
81,20-03-2020,31094,26
82,21-03-2020,31909,40
83,22-03-2020,34207,89
84,23-03-2020,34357,119
85,24-03-2020,44415,53
86,25-03-2020,42386,70
87,26-03-2020,53750,87
88,27-03-2020,61016,75
89,28-03-2020,65094,149
90,29-03-2020,62814,106
91,30-03-2020,57363,92
92,31-03-2020,64488,180
93,01-04-2020,74674,146
94,02-04-2020,77473,568
95,03-04-2020,77458,336
96,04-04-2020,81830,601
97,05-04-2020,85243,472
98,06-04-2020,66276,693
99,07-04-2020,72988,354
100,08-04-2020,77267,773
101,09-04-2020,84920,540
102,10-04-2020,87264,678
103,11-04-2020,89512,1035
104,12-04-2020,75314,909
105,13-04-2020,68528,796
106,14-04-2020,64720,1211
107,15-04-2020,76496,1075
108,16-04-2020,78348,942
109,17-04-2020,83941,1007
110,18-04-2020,81779,991
111,19-04-2020,79563,1334
112,20-04-2020,70562,1553
113,21-04-2020,73735,1335
114,22-04-2020,86665,1384
115,23-04-2020,66344,1409
116,24-04-2020,78485,1684
117,25-04-2020,72792,1429
118,26-04-2020,99782,1990
119,27-04-2020,81677,1396
120,28-04-2020,65820,1543
121,29-04-2020,72254,1897
122,30-04-2020,78802,1718
123,01-05-2020,85333,1993
124,02-05-2020,88667,2293
125,03-05-2020,80628,2644
126,04-05-2020,77165,2553
127,05-05-2020,76536,3900
128,06-05-2020,78683,2958
129,07-05-2020,87557,3561
130,08-05-2020,92424,3390
131,09-05-2020,89211,3320
132,10-05-2020,88843,3277
133,11-05-2020,74694,4213
134,12-05-2020,69734,3604
135,13-05-2020,86213,3525
136,14-05-2020,86257,3722
137,15-05-2020,96543,3967
138,16-05-2020,97219,3970
139,17-05-2020,92935,4987
140,18-05-2020,79503,5242
141,19-05-2020,86367,4970
142,20-05-2020,95544,5611
143,21-05-2020,103327,5609
144,22-05-2020,107780,6088
145,23-05-2020,105800,6654
146,24-05-2020,100027,6767
147,25-05-2020,93155,6977
148,26-05-2020,88843,6535
149,27-05-2020,93781,6387
150,28-05-2020,102819,6566
151,29-05-2020,118506,7466
152,30-05-2020,122069,7964
153,31-05-2020,127938,8380
154,01-06-2020,106716,8392
155,02-06-2020,100294,8171
156,03-06-2020,112387,8909
157,04-06-2020,125512,9304
158,05-06-2020,126924,9851
159,06-06-2020,133190,9887
160,07-06-2020,125997,9971
161,08-06-2020,114829,9983
162,09-06-2020,105621,9987
163,10-06-2020,125237,9985
164,11-06-2020,134854,9996
165,12-06-2020,136155,10956
166,13-06-2020,144626,11458
167,14-06-2020,133412,11929
168,15-06-2020,121196,11502
169,16-06-2020,118495,10667
170,17-06-2020,141476,10974
171,18-06-2020,176864,12881
172,19-06-2020,138450,13586
173,20-06-2020,180311,14516
174,21-06-2020,160317,15413
175,22-06-2020,129198,14821
176,23-06-2020,134239,14933
177,24-06-2020,163892,15968
178,25-06-2020,174994,16922
179,26-06-2020,178741,17296
180,27-06-2020,188672,18552
181,28-06-2020,182028,19906
182,29-06-2020,160203,19459
183,30-06-2020,158158,18522
184,01-07-2020,192085,18653
185,02-07-2020,200376,19148
186,03-07-2020,208625,20903
187,04-07-2020,205524,22771
188,05-07-2020,191064,24850
189,06-07-2020,178279,24248
190,07-07-2020,174279,22252
191,08-07-2020,206942,22752
192,09-07-2020,215506,24879
193,10-07-2020,225147,26506
194,11-07-2020,231461,27114
195,12-07-2020,217994,28637
196,13-07-2020,195499,28701
197,14-07-2020,188446,28498
198,15-07-2020,223693,29429
199,16-07-2020,231699,32695
200,17-07-2020,254378,34956
201,18-07-2020,254427,34884
202,19-07-2020,230166,38902
203,20-07-2020,209441,40425
204,21-07-2020,200764,37148
205,22-07-2020,239785,37724
206,23-07-2020,281633,45720
207,24-07-2020,276291,49310
208,25-07-2020,283911,48916
209,26-07-2020,259628,48661
210,27-07-2020,231858,49931
211,28-07-2020,211907,47703
212,29-07-2020,243802,48513
213,30-07-2020,298111,52123
214,31-07-2020,290431,55078
215,01-08-2020,279062,57118
216,02-08-2020,267857,54735
217,03-08-2020,223292,52972
218,04-08-2020,204657,52050
219,05-08-2020,255672,52509
220,06-08-2020,277604,56282
221,07-08-2020,285925,62538
222,08-08-2020,275903,61537
223,09-08-2020,268718,64399
224,10-08-2020,229414,62064
225,11-08-2020,219766,53601
226,12-08-2020,261467,60963
227,13-08-2020,289348,66999
228,14-08-2020,286670,64553
229,15-08-2020,288918,65002
230,16-08-2020,259633,63490
231,17-08-2020,232361,57981
232,18-08-2020,196546,55079
233,19-08-2020,255024,64531
234,20-08-2020,281518,69652
235,21-08-2020,276318,68898
236,22-08-2020,253231,69878
237,23-08-2020,266730,69239
238,24-08-2020,224348,61408
239,25-08-2020,211458,60975
240,26-08-2020,255073,67151
241,27-08-2020,276675,75760
242,28-08-2020,283410,77266
243,29-08-2020,276599,76472
244,30-08-2020,269011,78761
245,31-08-2020,245224,78512
246,01-09-2020,242506,69921
247,02-09-2020,268546,78357
248,03-09-2020,283140,83883
249,04-09-2020,278854,83341
250,05-09-2020,293457,86432
251,06-09-2020,279725,90632
252,07-09-2020,248633,90802
253,08-09-2020,206381,75809
254,09-09-2020,244646,89706
255,10-09-2020,282730,95735
256,11-09-2020,310287,96551
257,12-09-2020,305324,97570
258,13-09-2020,287096,94372
259,14-09-2020,272594,92071
260,15-09-2020,242863,83809
261,16-09-2020,304164,90123
262,17-09-2020,291785,97894
263,18-09-2020,314666,96424
264,19-09-2020,309844,93337
265,20-09-2020,294862,92605
266,21-09-2020,253567,86961
